Brand,Model,Type,What Makes It Good,My Experience,Main Features,My Rating,About Brand,Best For,Image URL,Affiliate Link,Features,Our Review,Pros,Cons,Demo
Walrus Audio,Julia V2,Chorus,"The Julia V2 nails warm, analog chorus tones that range from subtle shimmer to slightly detuned weirdness. The lag control makes it versatile.","I tried the Julia V2 during a jam session, and it transformed my clean tone into something straight out of a dream. It’s like adding a secret sauce to your sound—it’s subtle but unforgettable. Even my drummer noticed!","Lag control for adjusting the wobble, adjustable wave shapes, true bypass, and some of the coolest artwork on any pedal.",9/10,Walrus Audio makes boutique pedals with serious attention to detail. They’ve built a reputation for blending great tone with jaw-dropping visuals.,"Shoegaze, Alternative, Ambient",https://www.thomann.de/prodbilder/482059.jpg,https://www.thomann.de/de/walrus_audio_julia_v2.htm,,,,,
Walrus Audio,Julianna Chorus,Chorus,Julianna combines lush analog chorus with modern features like stereo outputs and tap tempo. Perfect for creating movement in your tone.,"I used the Julianna live on a small stage, and the stereo spread turned my sound into something massive. It’s easy to tweak on the fly, too—tap tempo saved me during a cover of Every Breath You Take!","Stereo outputs, tap tempo, random wave modes, and that drift function for creating subtle or wild movement in your sound.",10/10,Walrus Audio has a knack for making pedals that are both creative and reliable. They’re loved by pros and hobbyists alike for their innovative designs.,"Indie, Pop, Ambient",https://www.thomann.de/prodbilder/501998.jpg,https://www.thomann.de/de/walrus_audio_julianna_v2_chorus.htm,,,,,
Walrus Audio,Polychrome,Flanger,"The Polychrome is a flanger that doesn’t box you into one sound. It’s got both analog warmth and modern versatility, all in one box.","The first time I used the Polychrome, I felt like I had an instant retro sci-fi soundtrack at my feet. Flipping the voicing switch mid-song kept my bandmates on their toes—and yes, they were impressed.","Switchable voicings, blend knob, dynamic control options, and true bypass.",8.5/10,Walrus Audio excels at combining vintage vibes with modern engineering. They’re all about giving players tools that spark creativity without overwhelming them.,"Rock, Funk, Experimental",https://www.thomann.de/prodbilder/519004.jpg,https://www.thomann.de/de/walrus_audio_polychrome.htm,,,,,
Walrus Audio,Fundamental Chorus,Chorus,"The Fundamental Chorus keeps it simple but effective. With three modes to choose from, it’s perfect for beginners or anyone who loves no-fuss tone shaping.","I grabbed this pedal for a quick gig and was surprised by how straightforward and solid it sounded. No endless tweaking—just plug, play, and enjoy those smooth, lush sounds.","Three selectable modes (classic, vintage, and modern), blend knob, straightforward interface.",8/10,Walrus Audio’s Fundamental series proves that great tone doesn’t have to cost a fortune or involve a user manual thicker than a novel.,"Indie, Pop, General Use",https://www.thomann.de/prodbilder/564304.jpg,https://www.thomann.de/de/walrus_audio_fundamental_chorus.htm,,,,,
Walrus Audio,Meraki Red Stereo Delay,Delay,"This stereo delay pedal doesn’t just repeat your notes; it enhances them with rich, textured layers. The stereo spread is absolutely breathtaking.","I tested the Meraki Red during a recording session, and the stereo imaging made my solos feel cinematic. The producer literally said, “What is THAT pedal?” High praise, IMO.","Stereo outputs, multiple delay modes, tap tempo, and trail switch for natural decay.",9/10,Walrus Audio keeps impressing with pedals that balance incredible tone and practical features. This one’s a must for players who love atmospheric sounds.,"Ambient, Post-Rock, Soundscapes",https://www.thomann.de/prodbilder/583312.jpg,https://www.thomann.de/de/walrus_audio_meraki_red_stereo_delay.htm,,,,,
Walrus Audio,MAKO D1 MKII,Delay,"The MAKO D1 MKII is the Swiss Army knife (oops, versatile beast!) of delays. With five algorithms, it’s like having five pedals in one.","Using the D1 MKII at an open mic was a revelation. I switched between digital delay for a clean lead tone and ambient mode for my acoustic number—all mid-set, effortlessly.","Five delay algorithms, stereo outputs, tap tempo, modulation, presets, and MIDI control.",10/10,Walrus Audio’s MAKO series is for tone nerds who need top-tier sound and flexibility. This is boutique design taken to the next level.,"Post-Rock, Ambient, Prog Rock",https://www.thomann.de/prodbilder/601072.jpg,https://www.thomann.de/de/walrus_audio_mako_d1_mkii.htm,,,,,
Walrus Audio,ARP-87,Delay,The ARP-87 delivers delay tones ranging from warm and analog to bright and digital. It’s compact but packs a ton of sonic options.,"I used the ARP-87 during a looping session, and its modulation added so much character to my layers. It felt like I had a secret weapon no one else in the room knew about.","Four delay modes (digital, analog, lo-fi, and slap), modulation, tap tempo, and trail switch for natural decays.",9.5/10,"Walrus Audio consistently nails it when it comes to delays. The ARP-87 is no exception—it’s creative, user-friendly, and built like a tank.","Rock, Ambient, Experimental",https://www.thomann.de/prodbilder/419223.jpg,https://www.thomann.de/de/walrus_audio_arp_87.htm,,,,,
Walrus Audio,MAKO D1 V2,Delay,The D1 V2 improves on the original with even more flexibility and sound quality. Five algorithms and MIDI control make it a tone-shaper's dream.,"I brought the D1 V2 to a studio session, and it instantly won over the engineer. The presets saved me from tweaking endlessly, and the tape delay setting? Chef’s kiss.","Five delay algorithms, stereo I/O, MIDI, presets, tap tempo, and tone shaping controls.",10/10,"Walrus Audio’s MAKO series is like the Ferrari of pedals—high performance, sleek design, and engineered for perfection.","Ambient, Post-Rock, Experimental",https://www.thomann.de/prodbilder/535810.jpg,https://www.thomann.de/de/walrus_audio_mako_d1_v2.htm,,,,,
Walrus Audio,Fundamental Delay,Delay,"The Fundamental Delay is straightforward and reliable, with three modes to cover your delay basics. Affordable and surprisingly versatile.","I used this pedal during practice, and it made my tone sparkle without overcomplicating things. It’s great when you want delay that just works, no drama.","Three selectable delay types (digital, analog, slap), intuitive controls, and solid build quality.",8.5/10,Walrus Audio’s Fundamental line is all about simplicity and affordability. It’s for players who want boutique sound without the boutique price tag.,"Pop, Alternative, General Use",https://www.thomann.de/prodbilder/564329.jpg,https://www.thomann.de/de/walrus_audio_fundamental_delay.htm,,,,,
Walrus Audio,Deepsix V3,Compressor,The Deepsix V3 offers studio-quality compression in a pedalboard-friendly format. It smooths out your tone without squashing the life out of it.,"I’ve used the Deepsix on everything from clean strumming to gritty solos, and it never disappoints. It even makes single coils sound thick and buttery.","Blend control, attack and sustain adjustments, and works for guitar and bass.",9/10,Walrus Audio delivers again with a compressor that’s not just practical—it’s musical. Perfect for players who hate overly sterile compression.,"Blues, Jazz, Classic Rock",https://www.thomann.de/prodbilder/458070.jpg,https://www.thomann.de/de/walrus_audio_deepsix_v3.htm,,,,,
